TimeCreated,Id,LevelDisplayName,ProviderName,Message
2025-11-18 08:02:11,4624,Information,Microsoft-Windows-Security-Auditing,An account was successfully logged on. Logon Type: 2 (Interactive). Account Name: j.almeida. Account Domain: HR. Source Network Address: 192.168.10.55.
2025-11-18 12:02:11,4634,Information,Microsoft-Windows-Security-Auditing,An account was logged off. Account Name: j.almeida. Logon Type: 2.
2025-11-18 12:07:13,4625,Information,Microsoft-Windows-Security-Auditing,An account failed to log on. Logon Type: 3 (Network). Account Name: Administrator. Source Network Address: 10.10.14.8. Failure Reason: Unknown user name or bad password. Status: 0xC000006A. Workstation Name: KALI.
2025-11-18 12:07:20,4625,Information,Microsoft-Windows-Security-Auditing,An account failed to log on. Logon Type: 3 (Network). Account Name: Administrator. Source Network Address: 10.10.14.8. Failure Reason: Unknown user name or bad password. Status: 0xC000006A. Workstation Name: KALI.
2025-11-18 12:07:23,4625,Information,Microsoft-Windows-Security-Auditing,An account failed to log on. Logon Type: 3 (Network). Account Name: Administrator. Source Network Address: 10.10.14.8. Failure Reason: Unknown user name or bad password. Status: 0xC000006A. Workstation Name: KALI.
2025-11-18 12:07:29,4625,Information,Microsoft-Windows-Security-Auditing,An account failed to log on. Logon Type: 3 (Network). Account Name: Administrator. Source Network Address: 10.10.14.8. Failure Reason: Unknown user name or bad password. Status: 0xC000006A. Workstation Name: KALI.
2025-11-18 12:07:33,4625,Information,Microsoft-Windows-Security-Auditing,An account failed to log on. Logon Type: 3 (Network). Account Name: Administrator. Source Network Address: 10.10.14.8. Failure Reason: Unknown user name or bad password. Status: 0xC000006A. Workstation Name: KALI.
2025-11-18 12:07:37,4625,Information,Microsoft-Windows-Security-Auditing,An account failed to log on. Logon Type: 3 (Network). Account Name: Administrator. Source Network Address: 10.10.14.8. Failure Reason: Unknown user name or bad password. Status: 0xC000006A. Workstation Name: KALI.
2025-11-18 12:07:46,4625,Information,Microsoft-Windows-Security-Auditing,An account failed to log on. Logon Type: 3 (Network). Account Name: Administrator. Source Network Address: 10.10.14.8. Failure Reason: Unknown user name or bad password. Status: 0xC000006A. Workstation Name: KALI.
2025-11-18 12:07:49,4625,Information,Microsoft-Windows-Security-Auditing,An account failed to log on. Logon Type: 3 (Network). Account Name: Administrator. Source Network Address: 10.10.14.8. Failure Reason: Unknown user name or bad password. Status: 0xC000006A. Workstation Name: KALI.
2025-11-18 12:07:55,4625,Information,Microsoft-Windows-Security-Auditing,An account failed to log on. Logon Type: 3 (Network). Account Name: Administrator. Source Network Address: 10.10.14.8. Failure Reason: Unknown user name or bad password. Status: 0xC000006A. Workstation Name: KALI.
2025-11-18 12:07:58,4625,Information,Microsoft-Windows-Security-Auditing,An account failed to log on. Logon Type: 3 (Network). Account Name: Administrator. Source Network Address: 10.10.14.8. Failure Reason: Unknown user name or bad password. Status: 0xC000006A. Workstation Name: KALI.
2025-11-18 12:08:06,4625,Information,Microsoft-Windows-Security-Auditing,An account failed to log on. Logon Type: 3 (Network). Account Name: Administrator. Source Network Address: 10.10.14.8. Failure Reason: Unknown user name or bad password. Status: 0xC000006A. Workstation Name: KALI.
2025-11-18 12:08:11,4625,Information,Microsoft-Windows-Security-Auditing,An account failed to log on. Logon Type: 3 (Network). Account Name: Administrator. Source Network Address: 10.10.14.8. Failure Reason: Unknown user name or bad password. Status: 0xC000006A. Workstation Name: KALI.
2025-11-18 12:08:17,4625,Information,Microsoft-Windows-Security-Auditing,An account failed to log on. Logon Type: 3 (Network). Account Name: Administrator. Source Network Address: 10.10.14.8. Failure Reason: Unknown user name or bad password. Status: 0xC000006A. Workstation Name: KALI.
2025-11-18 12:08:21,4625,Information,Microsoft-Windows-Security-Auditing,An account failed to log on. Logon Type: 3 (Network). Account Name: Administrator. Source Network Address: 10.10.14.8. Failure Reason: Unknown user name or bad password. Status: 0xC000006A. Workstation Name: KALI.
2025-11-18 12:08:28,4625,Information,Microsoft-Windows-Security-Auditing,An account failed to log on. Logon Type: 3 (Network). Account Name: Administrator. Source Network Address: 10.10.14.8. Failure Reason: Unknown user name or bad password. Status: 0xC000006A. Workstation Name: KALI.
2025-11-18 12:08:34,4625,Information,Microsoft-Windows-Security-Auditing,An account failed to log on. Logon Type: 3 (Network). Account Name: Administrator. Source Network Address: 10.10.14.8. Failure Reason: Unknown user name or bad password. Status: 0xC000006A. Workstation Name: KALI.
2025-11-18 12:08:37,4625,Information,Microsoft-Windows-Security-Auditing,An account failed to log on. Logon Type: 3 (Network). Account Name: Administrator. Source Network Address: 10.10.14.8. Failure Reason: Unknown user name or bad password. Status: 0xC000006A. Workstation Name: KALI.
